dayoftheyear,houroftheday,open,high,low,close,volume,WLLDE
251,7,3.29,3.29,3.29,3.29,6,3.29
251,7,3.29,3.30,3.29,3.29,716,3.29
251,7,3.29,3.30,3.29,3.30,350,3.29
251,7,3.29,3.29,3.29,3.29,562,3.29
251,7,3.30,3.30,3.29,3.29,32,3.29
251,7,3.29,3.29,3.29,3.29,1258,3.29
251,7,3.29,3.29,3.29,3.29,12901,3.29
251,7,3.29,3.29,3.29,3.29,2324,3.29
251,7,3.30,3.30,3.30,3.30,833,3.29
251,7,3.30,3.30,3.29,3.29,115,3.29
251,7,3.29,3.30,3.29,3.30,9,3.29
251,7,3.29,3.29,3.29,3.29,53,3.29
251,7,3.30,3.30,3.30,3.30,599,3.30
251,7,3.30,3.30,3.30,3.30,0,3.30
251,7,3.30,3.30,3.30,3.30,532,3.30
251,7,3.30,3.30,3.30,3.30,0,3.30
251,7,3.30,3.30,3.30,3.30,2,3.30
251,7,3.30,3.30,3.30,3.30,32,3.30
251,8,3.30,3.30,3.30,3.30,416,3.30
251,8,3.29,3.29,3.29,3.29,46749,3.30
251,8,3.30,3.30,3.30,3.30,244,3.30
251,8,3.30,3.30,3.30,3.30,16365,3.30
251,8,3.30,3.30,3.30,3.30,367,3.30
251,8,3.30,3.30,3.30,3.30,1500,3.30
251,8,3.30,3.30,3.29,3.29,540,3.30
251,8,3.29,3.30,3.29,3.30,540,3.29
251,8,3.29,3.29,3.29,3.29,540,3.29
251,8,3.29,3.29,3.29,3.29,540,3.29
251,8,3.30,3.30,3.29,3.29,42991,3.29
251,8,3.30,3.30,3.29,3.29,150,3.29
251,8,3.29,3.30,3.29,3.30,550,3.29
251,8,3.29,3.29,3.29,3.29,500,3.29
251,9,3.29,3.29,3.29,3.29,70,3.29
251,9,3.29,3.29,3.29,3.29,590,3.29
251,9,3.29,3.29,3.29,3.29,540,3.29
251,9,3.29,3.29,3.29,3.29,540,3.29
251,9,3.29,3.29,3.29,3.29,40,3.29
251,9,3.29,3.29,3.29,3.29,540,3.29
251,9,3.29,3.29,3.29,3.29,1135,3.29
251,9,3.29,3.29,3.29,3.29,0,3.29
251,9,3.29,3.29,3.29,3.29,540,3.29
251,9,3.29,3.29,3.29,3.29,640,3.29
251,9,3.29,3.29,3.29,3.29,2320,3.29
251,9,3.29,3.29,3.29,3.29,0,3.29
251,9,3.29,3.29,3.29,3.29,1692,3.29
251,9,3.29,3.29,3.29,3.29,0,3.29
251,9,3.29,3.29,3.29,3.29,493,3.29
251,9,3.29,3.29,3.29,3.29,570,3.29
251,9,3.29,3.29,3.29,3.29,1824,3.29
251,10,3.29,3.29,3.29,3.29,0,3.29
251,10,3.29,3.29,3.29,3.29,540,3.29
251,10,3.29,3.29,3.29,3.29,540,3.29
251,10,3.29,3.29,3.29,3.29,544,3.29
251,10,3.29,3.29,3.29,3.29,540,3.29
251,10,3.29,3.29,3.29,3.29,1080,3.29
251,10,3.29,3.29,3.29,3.29,15904,3.29
251,10,3.29,3.29,3.29,3.29,540,3.29
251,10,3.29,3.29,3.29,3.29,280,3.29
251,10,3.29,3.29,3.29,3.29,540,3.29
251,10,3.29,3.29,3.29,3.29,609,3.29
251,10,3.29,3.29,3.29,3.29,21345,3.29
251,10,3.29,3.29,3.29,3.29,540,3.29
251,10,3.29,3.29,3.29,3.29,540,3.29
251,10,3.29,3.29,3.29,3.29,540,3.29
251,10,3.29,3.29,3.29,3.29,4320,3.29
251,10,3.29,3.29,3.29,3.29,0,3.29
251,10,3.29,3.29,3.29,3.29,1080,3.29
251,11,3.29,3.29,3.29,3.29,27,3.29
251,11,3.29,3.29,3.29,3.29,540,3.29
251,11,3.29,3.29,3.29,3.29,540,3.29
251,11,3.29,3.29,3.29,3.29,1080,3.29
251,11,3.29,3.29,3.29,3.29,540,3.29
251,11,3.29,3.29,3.29,3.29,85,3.29
251,11,3.29,3.29,3.29,3.29,775,3.29
251,11,3.29,3.29,3.29,3.29,3000,3.29
251,11,3.29,3.29,3.29,3.29,760,3.29
251,11,3.29,3.29,3.29,3.29,2572,3.29
251,11,3.29,3.29,3.29,3.29,66,3.29
251,11,3.29,3.29,3.29,3.29,200,3.30
251,11,3.29,3.29,3.29,3.29,386,3.30
251,11,3.29,3.30,3.29,3.30,5294,3.30
251,11,3.29,3.29,3.29,3.29,0,3.30
251,12,3.30,3.30,3.30,3.30,540,3.30
251,12,3.30,3.30,3.30,3.30,7196,3.30
251,12,3.30,3.30,3.30,3.30,1080,3.30
251,12,3.30,3.30,3.30,3.30,540,3.30
251,12,3.29,3.29,3.29,3.29,540,3.30
251,12,3.30,3.30,3.30,3.30,540,3.30
251,12,3.30,3.30,3.30,3.30,66762,3.30
251,12,3.31,3.31,3.31,3.31,11,3.30
251,12,3.31,3.31,3.31,3.31,30,3.30
251,12,3.31,3.31,3.31,3.31,66743,3.30
251,12,3.31,3.31,3.31,3.31,2,3.30
251,12,3.31,3.31,3.31,3.31,1079,3.31
251,12,3.31,3.31,3.31,3.31,11300,3.31
251,12,3.31,3.31,3.31,3.31,32480,3.31
251,13,3.31,3.31,3.31,3.31,488,3.31
251,13,3.31,3.31,3.31,3.31,12316,3.31
251,13,3.31,3.31,3.31,3.31,5154,3.31
251,13,3.31,3.31,3.31,3.31,5400,3.31
251,13,3.31,3.31,3.31,3.31,4817,3.31
251,13,3.31,3.31,3.31,3.31,32570,3.31
251,13,3.31,3.31,3.31,3.31,105336,3.31
251,13,3.32,3.32,3.32,3.32,0,3.31
251,13,3.32,3.32,3.32,3.32,525818,3.31
251,13,3.32,3.32,3.32,3.32,8,3.31
251,13,3.32,3.32,3.32,3.32,8340,3.32
251,13,3.32,3.32,3.32,3.32,3071,3.32
251,13,3.32,3.32,3.32,3.32,4788,3.32
251,13,3.32,3.32,3.32,3.32,5149,3.32
251,13,3.32,3.32,3.32,3.32,1080,3.32
251,13,3.32,3.32,3.32,3.32,85478,3.32
251,13,3.32,3.32,3.32,3.32,8006,3.32
251,13,3.32,3.32,3.32,3.32,441,3.32
251,13,3.32,3.32,3.32,3.32,7944,3.32
251,13,3.32,3.32,3.32,3.32,542,3.32
251,13,3.33,3.33,3.33,3.33,107,3.32
251,13,3.33,3.33,3.33,3.33,20,3.32
251,13,3.32,3.32,3.32,3.32,10000,3.32
251,14,3.32,3.32,3.32,3.32,7711,3.33
251,14,3.33,3.33,3.33,3.33,540,3.33
251,14,3.33,3.33,3.33,3.33,2426,3.33
251,14,3.33,3.33,3.33,3.33,8208,3.33
251,14,3.33,3.33,3.33,3.33,1846,3.32
251,14,3.33,3.33,3.33,3.33,0,3.32
251,14,3.33,3.33,3.33,3.33,200,3.32
251,14,3.33,3.33,3.33,3.33,1000,3.32
251,14,3.33,3.33,3.33,3.33,7707,3.32
251,14,3.33,3.33,3.33,3.33,8,3.32
251,14,3.33,3.33,3.33,3.33,64,3.32
251,14,3.32,3.32,3.32,3.32,2160,3.32
251,14,3.33,3.33,3.33,3.33,1094,3.32
251,14,3.33,3.33,3.32,3.32,1114,3.32
251,14,3.33,3.33,3.33,3.33,1,3.32
251,14,3.32,3.33,3.32,3.33,19,3.32
251,14,3.32,3.32,3.32,3.32,740,3.32
251,14,3.32,3.32,3.32,3.32,350,3.32
251,14,3.32,3.32,3.32,3.32,1560,3.32
251,14,3.32,3.32,3.32,3.32,632,3.32
251,14,3.32,3.32,3.32,3.32,2528,3.32
251,14,3.32,3.32,3.32,3.32,3,3.32
251,14,3.32,3.32,3.32,3.32,17,3.32
251,14,3.32,3.32,3.32,3.32,685,3.32
251,15,3.32,3.32,3.32,3.32,705,3.32
251,15,3.32,3.32,3.32,3.32,0,3.32
251,15,3.32,3.32,3.32,3.32,1925,3.32
251,15,3.32,3.32,3.32,3.32,1080,3.32
251,15,3.33,3.33,3.33,3.33,15,3.32
251,15,3.33,3.33,3.33,3.33,7,3.32
251,15,3.33,3.33,3.33,3.33,518,3.32
251,15,3.33,3.33,3.33,3.33,16,3.32
251,15,3.33,3.33,3.33,3.33,540,3.33
251,15,3.33,3.33,3.33,3.33,260,3.33
251,15,3.33,3.33,3.33,3.33,2660,3.33
252,7,3.33,3.33,3.33,3.33,33,3.33
252,7,3.33,3.33,3.33,3.33,2,3.33
252,7,3.33,3.33,3.33,3.33,314,3.33
252,7,3.33,3.33,3.33,3.33,125,3.33
252,7,3.33,3.33,3.33,3.33,202,3.33
252,7,3.33,3.33,3.33,3.33,21,3.33
252,7,3.33,3.33,3.33,3.33,8,3.33
252,7,3.33,3.33,3.33,3.33,4,3.33
252,7,3.33,3.33,3.33,3.33,4159,3.33
252,7,3.33,3.33,3.33,3.33,10,3.33
252,7,3.33,3.33,3.33,3.33,49,3.33
252,7,3.33,3.33,3.33,3.33,88000,3.33
252,7,3.33,3.33,3.33,3.33,4,3.33
252,7,3.33,3.33,3.33,3.33,66200,3.33
252,7,3.32,3.32,3.32,3.32,10806,3.33
252,8,3.32,3.32,3.32,3.32,444,3.33
252,8,3.32,3.32,3.32,3.32,5800,3.33
252,8,3.32,3.32,3.32,3.32,9,3.32
252,8,3.32,3.32,3.32,3.32,12,3.32
252,8,3.32,3.32,3.32,3.32,147,3.32
252,8,3.32,3.32,3.32,3.32,1500,3.32
252,8,3.32,3.32,3.32,3.32,8994,3.32
252,8,3.32,3.32,3.32,3.32,3605,3.32
252,8,3.32,3.32,3.32,3.32,10188,3.32
252,8,3.32,3.32,3.32,3.32,7495,3.32
252,8,3.32,3.32,3.32,3.32,7395,3.32
252,8,3.32,3.32,3.32,3.32,227,3.32
252,8,3.32,3.32,3.32,3.32,11146,3.32
252,8,3.32,3.32,3.32,3.32,17986,3.32
252,8,3.32,3.32,3.32,3.32,0,3.32
252,8,3.32,3.32,3.32,3.32,7196,3.32
252,8,3.32,3.32,3.32,3.32,100,3.32
252,8,3.32,3.32,3.32,3.32,8892,3.32
252,8,3.32,3.32,3.32,3.32,7,3.32
252,8,3.32,3.32,3.32,3.32,2517,3.32
252,8,3.32,3.32,3.32,3.32,8396,3.32
252,9,3.32,3.32,3.32,3.32,2,3.32
252,9,3.32,3.32,3.32,3.32,12718,3.32
252,9,3.32,3.32,3.32,3.32,3279,3.32
252,9,3.32,3.32,3.32,3.32,1778,3.32
252,9,3.32,3.32,3.32,3.32,7760,3.32
252,9,3.32,3.32,3.32,3.32,9005,3.32
252,9,3.32,3.32,3.32,3.32,100,3.32
252,9,3.32,3.32,3.32,3.32,8895,3.32
252,9,3.32,3.32,3.32,3.32,826,3.32
252,9,3.32,3.32,3.32,3.32,8168,3.32
252,9,3.32,3.32,3.32,3.32,9030,3.32
252,9,3.32,3.32,3.32,3.32,150,3.32
252,9,3.32,3.32,3.32,3.32,15148,3.32
252,9,3.32,3.32,3.32,3.32,0,3.32
252,9,3.32,3.32,3.32,3.32,8316,3.32
252,9,3.32,3.32,3.32,3.32,7195,3.32
252,9,3.32,3.32,3.32,3.32,7196,3.32
252,9,3.32,3.32,3.32,3.32,21586,3.32
252,9,3.32,3.32,3.32,3.32,0,3.32
252,9,3.32,3.32,3.32,3.32,12251,3.32
252,9,3.32,3.32,3.32,3.32,7842,3.32
252,9,3.32,3.32,3.32,3.32,8180,3.32
252,9,3.32,3.32,3.32,3.32,5695,3.32
252,10,3.32,3.32,3.32,3.32,6897,3.32
252,10,3.32,3.32,3.32,3.32,7263,3.32
252,10,3.32,3.32,3.32,3.32,8931,3.32
252,10,3.32,3.32,3.32,3.32,7196,3.32
252,10,3.32,3.32,3.32,3.32,1139,3.32
252,10,3.32,3.32,3.32,3.32,209,3.32
252,10,3.32,3.32,3.32,3.32,9844,3.32
252,10,3.32,3.32,3.32,3.32,7196,3.32
252,10,3.32,3.32,3.32,3.32,25,3.32
252,10,3.32,3.32,3.32,3.32,17576,3.32
252,10,3.32,3.32,3.32,3.32,3986,3.32
252,10,3.32,3.32,3.32,3.32,10793,3.32
252,10,3.32,3.32,3.32,3.32,8994,3.32
252,10,3.32,3.32,3.32,3.32,7108,3.32
252,10,3.32,3.32,3.32,3.32,5366,3.32
252,10,3.32,3.32,3.32,3.32,9113,3.32
252,10,3.33,3.33,3.33,3.33,60159,3.32
252,10,3.32,3.32,3.32,3.32,15533,3.32
252,11,3.32,3.32,3.32,3.32,0,3.32
252,11,3.32,3.32,3.32,3.32,7996,3.32
252,11,3.32,3.32,3.32,3.32,8182,3.32
252,11,3.32,3.32,3.32,3.32,8994,3.32
252,11,3.32,3.32,3.32,3.32,150,3.32
252,11,3.32,3.32,3.32,3.32,17166,3.32
252,11,3.32,3.32,3.32,3.32,16195,3.32
252,11,3.32,3.32,3.32,3.32,8995,3.32
252,11,3.32,3.32,3.32,3.32,8994,3.32
252,11,3.32,3.32,3.32,3.32,17990,3.32
252,11,3.32,3.32,3.32,3.32,0,3.32
252,11,3.32,3.32,3.32,3.32,2874,3.32
252,11,3.32,3.32,3.32,3.32,8529,3.32
252,11,3.32,3.32,3.32,3.32,3132,3.32
252,11,3.32,3.32,3.32,3.32,3053,3.32
252,11,3.32,3.32,3.32,3.32,8350,3.32
252,11,3.32,3.32,3.32,3.32,10072,3.32
252,11,3.32,3.32,3.32,3.32,7195,3.32
252,11,3.32,3.32,3.32,3.32,7196,3.32
252,11,3.32,3.32,3.32,3.32,7195,3.32
252,11,3.32,3.32,3.32,3.32,3598,3.32
252,12,3.32,3.32,3.32,3.32,485,3.32
252,12,3.32,3.32,3.32,3.32,7065,3.32
252,12,3.32,3.32,3.32,3.32,7196,3.32
252,12,3.32,3.32,3.32,3.32,150,3.32
252,12,3.32,3.32,3.32,3.32,11555,3.32
252,12,3.32,3.32,3.32,3.32,3598,3.32
252,12,3.32,3.32,3.32,3.32,14513,3.32
252,12,3.32,3.32,3.32,3.32,5246,3.32
252,12,3.32,3.32,3.32,3.32,9223,3.32
252,12,3.33,3.33,3.33,3.33,385,3.32
252,12,3.32,3.33,3.32,3.33,10849,3.32
252,12,3.33,3.33,3.33,3.33,6644,3.32
252,12,3.33,3.33,3.33,3.33,3283,3.32
252,12,3.32,3.32,3.32,3.32,5412,3.32
252,12,3.32,3.32,3.32,3.32,7822,3.32
252,12,3.32,3.32,3.32,3.32,21972,3.32
252,12,3.32,3.32,3.32,3.32,5713,3.32
252,12,3.32,3.32,3.32,3.32,7196,3.32
252,12,3.32,3.32,3.32,3.32,12520,3.32
252,12,3.32,3.33,3.32,3.33,8888,3.32
252,13,3.33,3.33,3.33,3.33,0,3.32
252,13,3.32,3.32,3.32,3.32,7551,3.32
252,13,3.32,3.32,3.32,3.32,7742,3.32
252,13,3.33,3.33,3.33,3.33,2941,3.32
252,13,3.33,3.33,3.33,3.33,6033,3.32
252,13,3.33,3.33,3.33,3.33,5828,3.32
252,13,3.32,3.32,3.32,3.32,6238,3.32
252,13,3.32,3.32,3.32,3.32,7196,3.32
252,13,3.33,3.33,3.33,3.33,3049,3.32
252,13,3.33,3.33,3.33,3.33,5726,3.32
252,13,3.32,3.32,3.32,3.32,14830,3.32
252,13,3.33,3.33,3.33,3.33,0,3.32
252,13,3.32,3.32,3.32,3.32,7789,3.32
252,13,3.33,3.33,3.33,3.33,5230,3.32
252,13,3.32,3.32,3.32,3.32,8698,3.32
252,13,3.32,3.32,3.32,3.32,7196,3.32
252,13,3.32,3.32,3.32,3.32,8994,3.32
252,13,3.32,3.32,3.32,3.32,9024,3.32
252,13,3.32,3.32,3.32,3.32,35,3.32
252,13,3.32,3.32,3.32,3.32,23316,3.32
252,13,3.32,3.32,3.32,3.32,54533,3.32
252,14,3.32,3.33,3.32,3.33,71333,3.32
252,14,3.33,3.33,3.32,3.32,77,3.32
252,14,3.32,3.32,3.32,3.32,134,3.32
252,14,3.32,3.32,3.32,3.32,2,3.32
252,14,3.31,3.31,3.31,3.31,8136,3.32
252,14,3.32,3.32,3.32,3.32,8861,3.32
252,14,3.32,3.32,3.32,3.32,1160008,3.32
252,14,3.31,3.31,3.31,3.31,14814,3.31
252,14,3.31,3.31,3.31,3.31,1588,3.31
252,14,3.31,3.31,3.31,3.31,12765,3.31
252,14,3.31,3.31,3.31,3.31,6591,3.31
252,14,3.31,3.31,3.31,3.31,7801,3.32
252,14,3.31,3.31,3.31,3.31,9708,3.32
252,14,3.31,3.31,3.31,3.31,11521,3.32
252,14,3.31,3.32,3.31,3.32,11262,3.32
252,14,3.32,3.32,3.32,3.32,3598,3.32
252,14,3.31,3.32,3.31,3.32,208,3.32
252,15,3.31,3.31,3.31,3.31,0,3.32
252,15,3.31,3.31,3.31,3.31,9243,3.32
252,15,3.31,3.31,3.31,3.31,1378,3.32
252,15,3.31,3.31,3.31,3.31,9029,3.32
252,15,3.31,3.31,3.31,3.31,3598,3.32
252,15,3.31,3.31,3.31,3.31,267771,3.32
252,15,3.31,3.31,3.31,3.31,11960,3.32
252,15,3.31,3.31,3.31,3.31,16532,3.32
252,15,3.31,3.31,3.31,3.31,9612,3.32
252,15,3.31,3.31,3.31,3.31,2600,3.32
252,15,3.32,3.32,3.32,3.32,8776,3.32
253,7,3.31,3.32,3.31,3.31,2,3.32
253,7,3.31,3.31,3.31,3.31,1,3.32
253,7,3.32,3.32,3.32,3.32,256,3.32
253,7,3.31,3.31,3.31,3.31,5,3.32
253,7,3.32,3.32,3.32,3.32,0,3.32
253,7,3.31,3.31,3.31,3.31,4523,3.32
253,7,3.32,3.32,3.32,3.32,89,3.32
253,7,3.32,3.32,3.32,3.32,29,3.32
253,7,3.32,3.32,3.32,3.32,25500,3.32
253,7,3.32,3.32,3.32,3.32,0,3.32
253,7,3.32,3.32,3.32,3.32,71,3.32
253,7,3.31,3.31,3.31,3.31,2,3.32
253,7,3.31,3.31,3.31,3.31,261,3.32
253,7,3.31,3.31,3.31,3.31,4645,3.32
253,7,3.31,3.31,3.31,3.31,17,3.32
253,7,3.32,3.32,3.32,3.32,330,3.32
253,8,3.32,3.32,3.32,3.32,270,3.32
253,8,3.31,3.31,3.31,3.31,104000,3.32
253,8,3.32,3.32,3.32,3.32,0,3.32
253,8,3.32,3.32,3.32,3.32,179878,3.32
253,8,3.32,3.32,3.32,3.32,6,3.32
253,8,3.32,3.32,3.32,3.32,57367,3.32
253,8,3.31,3.31,3.31,3.31,25000,3.32
253,8,3.31,3.31,3.31,3.31,200,3.31
253,8,3.31,3.31,3.31,3.31,0,3.31
253,8,3.31,3.31,3.31,3.31,24,3.31
253,8,3.31,3.31,3.31,3.31,788,3.31
253,8,3.31,3.31,3.31,3.31,423668,3.31
253,9,3.31,3.31,3.31,3.31,0,3.31
253,9,3.31,3.31,3.31,3.31,7138,3.31
253,9,3.31,3.31,3.31,3.31,9040,3.31
253,9,3.31,3.31,3.31,3.31,1920,3.31
253,9,3.31,3.31,3.31,3.31,2134,3.31
253,9,3.31,3.31,3.31,3.31,83,3.31
253,9,3.31,3.31,3.31,3.31,582,3.31
253,9,3.31,3.31,3.31,3.31,4,3.31
253,10,3.31,3.31,3.31,3.31,11748,3.31
253,10,3.31,3.31,3.31,3.31,7,3.31
253,10,3.31,3.31,3.31,3.31,368,3.31
253,10,3.31,3.31,3.31,3.31,0,3.31
253,10,3.31,3.31,3.31,3.31,36,3.31
253,10,3.31,3.31,3.31,3.31,100,3.31
253,10,3.31,3.31,3.31,3.31,0,3.31
253,10,3.31,3.31,3.31,3.31,100,3.31
253,10,3.31,3.31,3.31,3.31,33,3.31
253,10,3.31,3.31,3.31,3.31,7,3.31
253,11,3.31,3.31,3.31,3.31,1,3.31
253,11,3.31,3.31,3.31,3.31,3199,3.31
253,11,3.31,3.31,3.31,3.31,0,3.31
253,11,3.31,3.31,3.31,3.31,33,3.31
253,11,3.31,3.31,3.31,3.31,34,3.31
253,11,3.31,3.31,3.31,3.31,203,3.31
253,11,3.31,3.31,3.31,3.31,232,3.32
253,11,3.31,3.31,3.31,3.31,24,3.32
253,11,3.31,3.31,3.31,3.31,90,3.32
253,12,3.32,3.32,3.32,3.32,135,3.32
253,12,3.31,3.31,3.31,3.31,58,3.32
253,12,3.31,3.31,3.31,3.31,2,3.32
253,12,3.32,3.32,3.32,3.32,1,3.32
253,12,3.32,3.32,3.32,3.32,49,3.32
253,12,3.33,3.33,3.32,3.32,18079,3.32
253,12,3.32,3.32,3.32,3.32,210,3.32
253,12,3.32,3.32,3.32,3.32,0,3.32
253,13,3.32,3.32,3.32,3.32,601,3.32
253,13,3.32,3.32,3.32,3.32,2109,3.32
253,13,3.33,3.33,3.33,3.33,10,3.32
253,13,3.32,3.32,3.32,3.32,83,3.32
253,13,3.32,3.32,3.32,3.32,0,3.32
253,13,3.32,3.32,3.32,3.32,10,3.32
253,13,3.33,3.33,3.33,3.33,22,3.32
253,13,3.33,3.33,3.33,3.33,28,3.32
253,13,3.32,3.33,3.32,3.33,1801,3.32
253,13,3.32,3.32,3.32,3.32,1250,3.32
253,13,3.32,3.32,3.32,3.32,1000,3.32
253,13,3.32,3.32,3.32,3.32,252,3.32
253,13,3.32,3.32,3.32,3.32,323,3.32
253,13,3.32,3.32,3.32,3.32,2,3.32
253,13,3.32,3.32,3.32,3.32,144,3.32
253,13,3.32,3.32,3.32,3.32,44,3.32
253,14,3.32,3.32,3.32,3.32,278,3.32
253,14,3.32,3.32,3.32,3.32,220,3.32
253,14,3.32,3.32,3.32,3.32,15,3.32
253,14,3.32,3.32,3.32,3.32,50,3.32
253,14,3.32,3.32,3.32,3.32,6200,3.32
253,14,3.32,3.32,3.32,3.32,0,3.32
253,14,3.32,3.32,3.32,3.32,106,3.32
253,14,3.32,3.32,3.32,3.32,34517,3.32
253,14,3.32,3.32,3.32,3.32,21036,3.32
253,14,3.32,3.32,3.32,3.32,6,3.32
253,14,3.33,3.33,3.33,3.33,6330,3.32
253,14,3.32,3.32,3.32,3.32,50,3.32
253,14,3.33,3.33,3.33,3.33,10,3.32
253,14,3.33,3.33,3.33,3.33,80,3.32
253,14,3.33,3.33,3.33,3.33,1867,3.32
253,15,3.32,3.32,3.32,3.32,36000,3.32
253,15,3.33,3.33,3.33,3.33,0,3.32
253,15,3.32,3.32,3.32,3.32,37628,3.32
253,15,3.33,3.33,3.33,3.33,31200,3.32
253,15,3.33,3.33,3.33,3.33,7542,3.32
253,15,3.33,3.33,3.32,3.32,59,3.32
253,15,3.33,3.33,3.33,3.33,6472,3.33
253,15,3.33,3.33,3.33,3.33,4694,3.33
254,7,3.33,3.33,3.32,3.33,0,3.33
254,7,3.33,3.33,3.33,3.33,69,3.33
254,7,3.33,3.33,3.33,3.33,1000,3.33
254,7,3.33,3.33,3.33,3.33,78003,3.33
254,7,3.33,3.33,3.33,3.33,0,3.33
254,7,3.33,3.33,3.33,3.33,82968,3.33
254,7,3.33,3.33,3.33,3.33,1000,3.33
254,7,3.33,3.33,3.33,3.33,92475,3.33
254,7,3.33,3.33,3.33,3.33,157,3.33
254,7,3.33,3.33,3.33,3.33,200,3.33
254,7,3.33,3.33,3.33,3.33,48,3.33
254,8,3.33,3.33,3.33,3.33,12710,3.33
254,8,3.33,3.33,3.33,3.33,38013,3.33
254,8,3.33,3.33,3.33,3.33,5,3.33
254,8,3.33,3.33,3.33,3.33,32,3.33
254,8,3.33,3.33,3.33,3.33,2,3.33
254,8,3.33,3.33,3.33,3.33,1,3.33
254,8,3.33,3.33,3.33,3.33,2,3.33
254,8,3.33,3.33,3.33,3.33,41996,3.33
254,8,3.33,3.33,3.33,3.33,2,3.33
254,8,3.33,3.33,3.33,3.33,3000,3.33
254,8,3.33,3.33,3.33,3.33,18,3.33
254,8,3.33,3.33,3.33,3.33,191,3.33
254,8,3.33,3.33,3.33,3.33,75,3.33
254,8,3.33,3.33,3.33,3.33,400,3.33
254,8,3.33,3.33,3.33,3.33,63,3.33
254,8,3.33,3.33,3.33,3.33,49,3.33
254,9,3.33,3.33,3.33,3.33,28,3.33
254,9,3.33,3.33,3.33,3.33,1485,3.34
254,9,3.33,3.33,3.33,3.33,200,3.34
254,9,3.33,3.33,3.33,3.33,0,3.34
254,9,3.33,3.33,3.33,3.33,400,3.34
254,9,3.33,3.33,3.33,3.33,0,3.34
254,9,3.33,3.33,3.33,3.33,8,3.34
254,9,3.34,3.34,3.34,3.34,95,3.34
254,10,3.34,3.34,3.34,3.34,32,3.34
254,10,3.34,3.34,3.34,3.34,2,3.34
254,10,3.34,3.34,3.34,3.34,101,3.34
254,10,3.34,3.34,3.34,3.34,0,3.34
254,10,3.34,3.34,3.34,3.34,7,3.34
254,10,3.33,3.33,3.33,3.33,1,3.34
254,11,3.33,3.33,3.33,3.33,248,3.34
254,11,3.33,3.33,3.33,3.33,0,3.34
254,11,3.33,3.33,3.33,3.33,16,3.34
254,11,3.34,3.34,3.34,3.34,39,3.34
254,11,3.33,3.33,3.33,3.33,700,3.34
254,11,3.33,3.33,3.33,3.33,23,3.34
254,11,3.33,3.33,3.33,3.33,276518,3.34
254,11,3.33,3.33,3.33,3.33,1,3.34
254,11,3.33,3.33,3.33,3.33,4747,3.34
254,12,3.33,3.33,3.33,3.33,6107,3.35
254,12,3.33,3.33,3.33,3.33,0,3.35
254,12,3.33,3.33,3.33,3.33,57,3.35
254,12,3.34,3.34,3.33,3.33,20,3.35
254,12,3.34,3.35,3.34,3.35,15572,3.35
254,12,3.35,3.35,3.35,3.35,1542,3.35
254,12,3.35,3.35,3.35,3.35,352,3.35
254,12,3.35,3.35,3.35,3.35,100,3.35
254,12,3.35,3.36,3.35,3.36,3067,3.35
254,12,3.35,3.35,3.35,3.35,24,3.35
254,12,3.35,3.35,3.35,3.35,1100,3.35
254,12,3.34,3.34,3.34,3.34,20100,3.35
254,12,3.34,3.34,3.34,3.34,0,3.35
254,13,3.34,3.34,3.34,3.34,6109,3.35
254,13,3.34,3.34,3.34,3.34,34,3.35
254,13,3.35,3.35,3.35,3.35,23,3.35
254,13,3.35,3.35,3.35,3.35,3585,3.35
254,13,3.35,3.35,3.35,3.35,0,3.35
254,13,3.35,3.35,3.35,3.35,58800,3.36
254,13,3.35,3.35,3.35,3.35,0,3.36
254,13,3.35,3.35,3.35,3.35,8468,3.36
254,14,3.35,3.35,3.35,3.35,0,3.36
254,14,3.35,3.35,3.35,3.35,1021,3.36
254,14,3.36,3.36,3.36,3.36,23,3.36
254,14,3.36,3.36,3.36,3.36,99,3.36
254,14,3.36,3.36,3.36,3.36,75969,3.36
254,14,3.36,3.36,3.36,3.36,3180,3.36
254,14,3.36,3.36,3.36,3.36,0,3.36
254,14,3.36,3.36,3.36,3.36,492805,3.36
254,14,3.36,3.36,3.36,3.36,12608,3.36
254,14,3.37,3.37,3.37,3.37,6,3.36
254,14,3.36,3.36,3.36,3.36,62,3.36
254,14,3.36,3.36,3.36,3.36,0,3.36
254,14,3.36,3.36,3.36,3.36,30,3.36
254,14,3.36,3.36,3.36,3.36,70,3.36
254,14,3.35,3.35,3.35,3.35,4,3.36
254,15,3.35,3.35,3.35,3.35,39119,3.36
254,15,3.35,3.35,3.35,3.35,3599,3.36
254,15,3.35,3.35,3.35,3.35,997,3.36
254,15,3.35,3.35,3.35,3.35,4,3.36
254,15,3.35,3.35,3.35,3.35,130,3.36
254,15,3.35,3.35,3.35,3.35,91,3.35
254,15,3.35,3.35,3.35,3.35,951,3.35
254,15,3.35,3.35,3.35,3.35,9959,3.35
255,7,3.35,3.35,3.35,3.35,115,3.35
255,7,3.35,3.35,3.35,3.35,72,3.35
255,7,3.35,3.35,3.35,3.35,1,3.35
255,7,3.35,3.35,3.35,3.35,4,3.35
255,7,3.35,3.35,3.35,3.35,19,3.35
255,7,3.35,3.35,3.35,3.35,400,3.35
255,7,3.35,3.35,3.35,3.35,67184,3.35
255,7,3.35,3.35,3.35,3.35,95,3.35
255,7,3.35,3.35,3.35,3.35,1400,3.35
255,7,3.35,3.35,3.35,3.35,2,3.35
